cluster,label,size,dominant_official_issue,example
21,Fraudulent transactions on cards.,1228,Problem with a purchase shown on your statement,"Around * * //year>2024 * *, my * * ( specifically ) account was hacked * *, and as a result, my * * Chase credit card * * was fraudulently charged approximately * * {$16000.00} * *. I immediately reported the unauthorized charges to Chase and explained that they were linked to the hacking incident. "
22,Incorrect merchant coding.,245,"Other features, terms, or problems","I redeemed my Chase Ultimate Rewards points through Chase Shop to purchase an ( Order Number : ) //year>. I have been trying to cancel this order for more than week, but Chase has provided no working solution and no customer support. Here is what happened : . I called the Chase Shop support line at "
23,False or Unwanted Transactions,377,Problem with a purchase shown on your statement,"A card I did not request or authorize was opened on my PayPal Account. I have been receiving lots of emails from PayPal with offers, but I disregarded them as junk/click bait. On //year>. I received an email that stated congratulations on your new card, still I disregarded it as clickbait/junk. Then"
24,Incorrect Credit Limit/Account Changes,690,Closing your account,"On //2025, I contacted Synchrony to get an update on the interest free period. I was told that period had expired in and that there was a 30 day grace period that I had also missed and was not even aware of it. I informed them that I never gained online access for the account nor did I have a hard c"
25,Inaccurate or unauthorized accounts.,1386,Getting a credit card,"I am reporting an unauthorized and fraudulent account that was added to my credit report without my knowledge or permission. I did not open this account, apply for credit with this company, authorize anyone to do so on my behalf, or receive any benefit from it. This account is the result of identity"
26,Changing interest rates,800,Fees or interest,"I made a promotional balance transfer around nine months ago and am still paying it off. An older promotional balance transfer was paid off last when it was set to expire. In and then in , I made two purchases of approximately {$33.00} and {$66.00} respectively. I made payment {$330.00} and {$480.00"
27,Late Fees,421,Fees or interest,"A 30 day late payment was applied to my credit report, for a card that was not activated or used. I had no knowledge of the card and the company keeps sending me emails daily requesting {$68.00} annual fee for a card that has a limit of {$500.00}. I didn't know about the card otherwise I would not l"
28,Technical Glitch with Autopay,126,Problem when making payments,"First, and I realize this is not an illegal business practice, I am very upset that I was sold this card at my bank and was not told that they were partnered with a 3rd-party service provider, rather than handling the debt themselves. This card has been the bane of my existence! My chief complaint, "
29,Unauthorized transactions,412,Problem with a purchase shown on your statement,"//year> amount : On //, an unauthorized transfer was made from my Bank of America credit card to an credit card. I did not initiate, authorize, or approve this transfer. There was also a second attempted transaction on the same day, which I was able to detect and call in to stop before it was comple"
30,Order fulfillment errors,302,Problem with a purchase shown on your statement,"On //year>, I saw a pending charge by for a high amount of fee and few days later after it was posted, I filed a dispute with my bank for a {$250.00} charge from , as I had not received any refund at the time. Although I later received a partial refund of {$120.00} directly from , I still need to re"
31,Poor dispute handling.,592,Problem with a purchase shown on your statement,"I previously filed a CFPB complaint ( Complaint ID , submitted on //year> ) regarding two disputed Apple Card transactions. Goldman Sachs acknowledged a processing error and reopened the disputes. In its CFPB response dated //year>, the Bank stated that both disputes were ruled in my favor and that "
